ASTE,Astec Inds Inc,58.52,57.51,57.59,76800,-0.46,0.79
ASUR,Asure Software,6.49,6.37,6.39,36200,0.04,0.63
ASYS,Amtech Systems Inc,4.95,4.8,4.85,6900,-0.02,0.41
ATAI,Ata Inc ADR,4.51,4.44,4.51,2900,0,0
ATAX,Amer First Mf Inv,6.1,6.06,6.08,124800,-0.01,0.16
ATEC,Alphatec Holdings,9.01,8.12,8.21,202800,-0.42,4.87
ATHN,Athenahealth Inc,123.8,122.6,123.7,167900,-0.1,0.11
ATHX,Athersys Inc,2.02,1.96,1.96,174700,-0.06,2.97
ATLC,Atlanticus Hldg Cp,3.07,3.03,3.07,400,0.05,1.66
ATLO,Ames Natl Corp,27.28,26.97,27.04,5200,-0.04,0.15
ATMR,Atomera Inc,8.31,7.99,8.05,43300,-0.22,2.66
ATNI,Atn International,67.72,66.86,66.92,47300,-0.93,1.37
ATOS,Atossa Genetics Inc,2.19,2.05,2.07,20600,-0.11,5.05
ATRA,Atara Biotherap Cmn,20.44,19.37,19.94,132200,-0.18,0.89
ATRC,Atricure Inc,16,15.67,15.84,139900,-0.3,1.86
ATRI,Atrion Corp,428,416.2,418.5,9300,-5.5,1.3
ATRO,Astronics Cp,44.1,43.43,43.5,68000,-0.33,0.75
ATRS,Antares Pharma Cmn,1.68,1.63,1.65,682400,-0.01,0.6
ATSG,Air Transport,13.8,13.5,13.72,291100,0.09,0.66
ATTU,Attunity Ltd,6.68,6.33,6.39,103200,-0.33,4.91
ATVI,Activision Blizzard,44.34,43.93,43.98,4426500,-0.38,0.86
AUBN,Auburn Natl Bncp I,28.25,28.25,28.25,1600,-0.15,0.53
AUDC,Audiocodes Ltd,5.74,5.49,5.55,170000,0.03,0.54
AUMA,Ar Cap Acq Cmn,9.95,9.95,9.95,600,-0.03,0.3
AUMAU,Ar Capital Acq Uts,10.08,10.08,10.08,600,0.07,0.7
AUMAW,Ar Cap Acq Warrants,0.09,0.09,0.09,3671,0,0
AUPH,Aurinia Pharm Ord,2.46,2.35,2.39,691300,-0.01,0.42
AVAV,Aerovironment Inc,25.01,24.37,24.42,110600,-0.24,0.97
AVEO,Aveo Pharmaceuticals,0.9,0.88,0.88,129500,-0.02,2.22
AVGO,Broadcom Ltd,167.2,162.8,166.7,3203400,0,0.02
AVGR,Avinger Inc Cmn,5.1,4.78,4.9,262200,-0.1,2
AVHI,A V Homes Inc,16.52,16.25,16.39,53100,-0.16,0.97
AVID,Avid Tech Inc,8.15,7.9,7.98,393000,-0.13,1.6
AVIR,Aviragen Therapeutic,1.89,1.67,1.86,232000,0.2,12.05
AVNW,Aviat Networks Inc,9.6,9.05,9.27,40900,-0.13,1.38
AVXL,Anavex Lf SC Cmn,3.19,3.01,3.15,1073700,0.04,1.29
AVXS,Avexis Inc Cmn Stk,41.2,38.46,40.12,553300,-1.31,3.16
AWRE,Aware Inc,5.79,5.3,5.49,98300,-0.24,4.19
AXAS,Abraxas Petro Corp,1.62,1.57,1.6,591600,0.01,0.63
AXDX,Accelerate Diagnosti,27.83,26.97,27.01,160400,-0.4,1.46
AXGN,Axogen Inc Cmn,8.83,8.62,8.62,55900,-0.24,2.71
AXSM,Axsome Thera Cmn Stk,7.73,7.47,7.57,14400,-0.04,0.53
AXTI,Axt Inc,4.95,4.78,4.86,116900,-0.01,0.21
AYA,Amaya Inc Cmn Stk,15.92,15.79,15.83,50600,-0.11,0.69
AZPN,Aspen Technology Cmn,46.42,46.01,46.05,228500,-0.5,1.07
